2019-08-21 16:00:00-04:00,10105.45
2019-08-22 16:00:00-04:00,10173.71
2019-08-23 16:00:00-04:00,10420.68
2019-08-24 16:00:00-04:00,10112.26
2019-08-25 16:00:00-04:00,10075.64
2019-08-26 16:00:00-04:00,10321.07
2019-08-27 16:00:00-04:00,10159.49
2019-08-28 16:00:00-04:00,9680.92
2019-08-29 16:00:00-04:00,9510.07
2019-08-30 16:00:00-04:00,9574.21
2019-08-31 16:00:00-04:00,9598.41
2019-09-01 16:00:00-04:00,9649.46
2019-09-02 16:00:00-04:00,10192.11
2019-09-03 16:00:00-04:00,10666.67
2019-09-04 16:00:00-04:00,10715.43
2019-09-05 16:00:00-04:00,10539.04
2019-09-06 16:00:00-04:00,10387.21
2019-09-07 16:00:00-04:00,10497.53
2019-09-08 16:00:00-04:00,10358.6
2019-09-09 16:00:00-04:00,10311.88
2019-09-10 16:00:00-04:00,10025.65
2019-09-11 16:00:00-04:00,10091.29
2019-09-12 16:00:00-04:00,10326.27
2019-09-13 16:00:00-04:00,10223.15
2019-09-14 16:00:00-04:00,10387.55
2019-09-15 16:00:00-04:00,10315.43
2019-09-16 16:00:00-04:00,10144.39
2019-09-17 16:00:00-04:00,10270.1
2019-09-18 16:00:00-04:00,10184.07
2019-09-19 16:00:00-04:00,10118.78
2019-09-20 16:00:00-04:00,10165.5
2019-09-21 16:00:00-04:00,10036.28
2019-09-22 16:00:00-04:00,10009.16
2019-09-23 16:00:00-04:00,9812.17
2019-09-24 16:00:00-04:00,8477.56
2019-09-25 16:00:00-04:00,8370.02
2019-09-26 16:00:00-04:00,8134.58
2019-09-27 16:00:00-04:00,8032.67
2019-09-28 16:00:00-04:00,8190.62
2019-09-29 16:00:00-04:00,7991.46
2019-09-30 16:00:00-04:00,8297.84
2019-10-01 16:00:00-04:00,8325.79
2019-10-02 16:00:00-04:00,8289.02
2019-10-03 16:00:00-04:00,8182.77
2019-10-04 16:00:00-04:00,8221.04
2019-10-05 16:00:00-04:00,8131.41
2019-10-06 16:00:00-04:00,7941.29
2019-10-07 16:00:00-04:00,8244.19
2019-10-08 16:00:00-04:00,8189.85
2019-10-09 16:00:00-04:00,8614.28
2019-10-10 16:00:00-04:00,8597.29
2019-10-11 16:00:00-04:00,8359.87
2019-10-12 16:00:00-04:00,8366.07
2019-10-13 16:00:00-04:00,8486.95
2019-10-14 16:00:00-04:00,8358.72
2019-10-15 16:00:00-04:00,8196.73
2019-10-16 16:00:00-04:00,7981.63
2019-10-17 16:00:00-04:00,8101.72
2019-10-18 16:00:00-04:00,7982.03
2019-10-19 16:00:00-04:00,8022.1
