Date,Close
1/31/2007,100.00
2/28/2007,97.90
3/30/2007,100.05
4/30/2007,102.95
5/31/2007,104.80
6/29/2007,103.54
7/31/2007,101.68
8/31/2007,102.29
9/28/2007,105.87
10/31/2007,110.21
11/30/2007,111.53
12/31/2007,112.42
1/31/2008,116.02
2/29/2008,121.24
3/31/2008,119.91
4/30/2008,118.95
5/30/2008,121.80
6/30/2008,127.65
7/31/2008,124.46
8/29/2008,122.97
9/30/2008,124.81
10/31/2008,132.05
11/28/2008,133.63
12/31/2008,134.17
1/30/2009,133.50
2/27/2009,133.77
3/31/2009,131.36
4/30/2009,128.21
5/29/2009,129.75
6/30/2009,129.23
7/31/2009,128.97
8/31/2009,129.10
9/30/2009,130.91
10/30/2009,129.34
11/30/2009,132.96
12/31/2009,130.17
1/29/2010,127.83
2/26/2010,128.47
3/31/2010,132.58
4/30/2010,134.97
5/28/2010,131.73
6/30/2010,132.52
7/30/2010,134.11
8/31/2010,137.86
9/30/2010,142.13
10/29/2010,144.12
11/30/2010,143.83
12/31/2010,150.30
1/31/2011,148.65
2/28/2011,152.22
3/31/2011,149.94
4/29/2011,155.63
5/31/2011,150.65
6/30/2011,148.54
7/29/2011,151.66
8/31/2011,153.48
9/30/2011,154.09
10/31/2011,151.32
11/30/2011,151.62
12/30/2011,152.38
1/31/2012,151.16
2/29/2012,152.97
3/30/2012,150.83
4/30/2012,151.43
5/31/2012,154.61
6/29/2012,150.28
7/31/2012,155.09
8/31/2012,152.76
9/28/2012,152.46
10/31/2012,150.32
11/30/2012,150.92
12/31/2012,152.73
1/31/2013,153.49
2/28/2013,153.18
3/28/2013,155.02
4/30/2013,157.81
5/31/2013,155.60
6/28/2013,152.33
7/31/2013,152.94
8/30/2013,151.10
9/30/2013,152.31
10/31/2013,154.44
11/29/2013,156.29
12/31/2013,157.54
1/31/2014,155.65
2/28/2014,157.83
3/31/2014,157.20
4/30/2014,157.52
5/30/2014,159.25
6/30/2014,160.05
7/31/2014,161.33
8/29/2014,164.72
9/30/2014,170.49
10/31/2014,173.56
11/28/2014,180.85
12/31/2014,184.65
1/30/2015,190.56
2/27/2015,191.32
3/31/2015,191.70
4/30/2015,188.25
5/29/2015,187.31
6/30/2015,182.81
7/31/2015,186.10
8/31/2015,186.47
9/30/2015,184.23
10/30/2015,181.65
11/30/2015,182.56
12/31/2015,179.27
1/29/2016,182.50
2/29/2016,186.33
3/31/2016,181.11
4/29/2016,178.94
5/31/2016,176.43
6/30/2016,180.84
7/29/2016,183.01
8/31/2016,180.26
9/30/2016,178.82
10/31/2016,174.53
11/30/2016,171.39
12/30/2016,173.45
1/31/2017,171.37
2/28/2017,173.94
3/31/2017,173.59
4/28/2017,172.90
5/31/2017,174.80
6/30/2017,171.65
7/31/2017,172.51
8/31/2017,173.89
9/29/2017,171.80
10/31/2017,175.92
11/30/2017,176.80
12/29/2017,179.98
1/31/2018,186.28
2/28/2018,174.73
3/29/2018,174.03
4/30/2018,174.38
5/31/2018,171.24
6/29/2018,171.93
7/31/2018,171.07
8/31/2018,173.12
9/28/2018,172.77
10/31/2018,170.35
11/30/2018,170.69
12/31/2018,172.06
1/31/2019,170.17
2/28/2019,171.02
3/29/2019,178.03
4/30/2019,179.45
5/31/2019,177.30
6/28/2019,182.97
7/31/2019,186.81
8/30/2019,193.91
9/30/2019,187.12
10/31/2019,184.50
11/29/2019,185.98
12/31/2019,183.19
1/31/2020,184.66
2/28/2020,186.88
3/31/2020,195.29
4/30/2020,194.51
5/29/2020,192.18
6/30/2020,190.64
7/31/2020,193.50
8/31/2020,193.89
9/30/2020,191.17
10/30/2020,190.21
11/30/2020,194.78
12/31/2020,200.81
1/29/2021,199.20
2/26/2021,205.58
3/31/2021,208.46
4/30/2021,212.84
5/28/2021,214.54
6/30/2021,211.54
7/30/2021,212.60
8/31/2021,212.17
9/30/2021,211.32
10/29/2021,215.12
11/30/2021,207.59
12/31/2021,209.25
1/31/2022,213.85
2/28/2022,217.70
3/31/2022,231.63
4/29/2022,239.04
5/31/2022,236.17
6/30/2022,245.85
7/29/2022,239.95
8/31/2022,246.67
9/30/2022,260.23
10/31/2022,255.55
11/30/2022,244.82
12/30/2022,245.31
1/31/2023,246.29
2/28/2023,243.33
3/31/2023,234.08
4/28/2023,238.30
5/31/2023,243.30
6/30/2023,244.52
7/31/2023,246.48
8/31/2023,243.52
9/29/2023,249.36
10/31/2023,250.36
11/30/2023,243.35
12/29/2023,246.27
1/31/2024,251.44
2/29/2024,262.75
3/28/2024,267.48
4/30/2024,270.69
5/31/2024,266.90
6/28/2024,267.43
7/31/2024,260.74
8/30/2024,257.87
9/30/2024,258.90
10/31/2024,256.83
11/29/2024,259.91
12/31/2024,263.81
1/31/2025,267.24
2/28/2025,266.44
3/31/2025,269.64
